2025/08/22 03:52:20 This will be printed on screen and saved to app.log
2025/08/22 03:52:20 Another log: 123
2025/08/22 03:52:20 You can use log instead of fmt to log everywhere
2025/08/22 03:53:47 This will be printed on screen and saved to app.log
2025/08/22 03:53:47 Another log: 123
2025/08/22 03:53:47 You can use log instead of fmt to log everywhere
2025/08/22 03:53:47 API Key is valid. Proceeding...
2025/08/22 03:53:47 Connected to DB.
2025/08/22 03:53:47 Initialized config table.
2025/08/22 03:53:47 Registered routes.
2025/08/22 03:53:47 > 
2025/08/22 03:54:06 API Key is valid. Proceeding...
2025/08/22 03:54:06 Connected to DB.
2025/08/22 03:54:06 Initialized config table.
2025/08/22 03:54:06 Registered routes.
2025/08/22 03:54:06 > 
2025/08/22 03:54:12 
Bazaar response success was: true. Products found: 1712
2025/08/22 03:54:12 Iterating through found products...
2025/08/22 03:54:12 Ignoring product: ENCHANTMENT_RESPITE_5. Cause: MIN_PROFIT_% (4).
2025/08/22 03:54:12 Ignoring product: SHARD_WYVERN. Cause: MIN_PROFIT_% (0).
2025/08/22 03:54:12 Ignoring product: ENCHANTMENT_GREEN_THUMB_1. Cause: MIN_PROFIT_% (0).
2025/08/22 03:54:12 Ignoring product: ENCHANTMENT_ULTIMATE_FLASH_4. Cause: MIN_PROFIT_% (3).
2025/08/22 03:54:12 Ignoring product: ENCHANTMENT_BANE_OF_ARTHROPODS_4. Cause: MIN_PROFIT (0).
2025/08/22 03:54:12 Ignoring product: HUGE_MUSHROOM_1. Cause: MIN_PROFIT (0).
2025/08/22 03:54:12 Ignoring product: ENCHANTMENT_SYPHON_2. Cause: MIN_PROFIT (0).
2025/08/22 03:54:12 Ignoring product: ENCHANTMENT_LUCK_2. Cause: MIN_PROFIT (0).
2025/08/22 03:54:12 Ignoring product: FULL_CHUM_BUCKET. Cause: MIN_PROFIT (81).
2025/08/22 03:54:12 Ignoring product: SHARD_TEMPEST. Cause: MIN_PROFIT_% (0).
2025/08/22 03:54:12 Ignoring product: SHARD_NIGHT_SQUID. Cause: MIN_PROFIT (160).
2025/08/22 03:54:12 Ignoring product: ARACHNE_KEEPER_FRAGMENT. Cause: MIN_PROFIT (3).
2025/08/22 03:54:12 Ignoring product: ENCHANTED_GLISTERING_MELON. Cause: MIN_PROFIT (40).
2025/08/22 03:54:12 Ignoring product: SHARD_HIDEONCAVE. Cause: MIN_PROFIT_% (0).
2025/08/22 03:54:12 Ignoring product: LUCKY_DICE. Cause: MIN_PROFIT_% (1).
2025/08/22 03:54:12 Ignoring product: ENCHANTMENT_CULTIVATING_9. Cause: MIN_PROFIT (0).
2025/08/22 03:54:12 Ignoring product: CAN_OF_WORMS. Cause: MIN_PROFIT (98).
2025/08/22 03:54:12 Ignoring product: ENCHANTED_CARROT. Cause: MIN_PROFIT (0).
